Block,Rep,Box,Leaf,Disk,Env,FocalSR,CompSR,Dens,Type,Focalfemale,FocalDead,FocalDrowned,FocalMissing,NumbDeadComp,TeFemales,TuFemales,Observations
1,1,2,3,1,N,2,5,2,INTER,Tu,0,0,0,0,23,1,NA
1,1,2,4,2,N,2,5,2,INTER,Tu,0,0,0,0,17,1,NA
1,1,2,3,3,Cd,2,5,2,INTER,Tu,0,0,0,0,9,3,NA
1,1,2,4,4,Cd,2,5,2,INTER,Tu,0,0,0,0,5,2,NA
1,1,2,3,5,N,2,5,4,INTER,Tu,0,0,0,0,47,0,NA
1,1,2,4,6,N,2,5,4,INTER,Tu,0,0,0,0,57,0,NA
1,1,2,3,7,Cd,2,5,4,INTER,Tu,0,0,0,0,13,3,NA
1,1,2,4,8,Cd,2,5,4,INTER,Tu,1,0,0,2,10,1,NA
1,1,2,3,9,N,2,5,10,INTER,Tu,0,0,0,0,65,2,Jesus mites everywhere
1,1,2,4,10,N,2,5,10,INTER,Tu,0,0,0,0,27,3,Jesus mites everywhere
1,1,2,3,11,Cd,2,5,10,INTER,Tu,0,0,0,0,3,0,NA
1,1,2,4,12,Cd,2,5,10,INTER,Tu,1,0,0,0,5,0,NA
1,1,1,3,1,N,2,4,2,INTER,Tu,0,0,0,0,6,0,NA
1,1,1,4,2,N,2,4,2,INTER,Tu,0,0,0,0,2,3,NA
1,1,1,3,3,Cd,2,4,2,INTER,Tu,0,1,0,0,7,0,NA
1,1,1,4,4,Cd,2,4,2,INTER,Tu,0,0,0,0,1,2,NA
1,1,1,3,5,N,2,4,4,INTER,Tu,0,0,0,0,20,4,NA
1,1,1,4,6,N,2,4,4,INTER,Tu,0,0,0,0,23,3,NA
1,1,1,3,7,Cd,2,4,4,INTER,Tu,0,0,0,0,2,0,NA
1,1,1,4,8,Cd,2,4,4,INTER,Tu,0,0,0,0,10,0,NA
1,1,1,3,9,N,2,4,10,INTER,Tu,0,0,0,0,12,0,NA
1,1,1,4,10,N,2,4,10,INTER,Tu,1,0,0,0,34,0,More than eggs
